Date,Year,Month,Urban_Pixels,Valid_Pixels,Urban_Area_km2,Urban_Percentage
2023-02-23,2023,2,4115,8617980,3.7035,0.04774900846834177
2023-03-03,2023,3,5175,8617980,4.6575,0.060048874562252406
2023-03-19,2023,3,5109,8617980,4.5981,0.059283033843197594
2023-03-27,2023,3,4880,8617980,4.392,0.05662579862102256
2023-04-04,2023,4,3580,8617980,3.222,0.04154105718509442
2023-04-12,2023,4,3014,8617980,2.7126,0.034973392836836474
2023-04-20,2023,4,2091,8617980,1.8819,0.024263226417327494
2023-04-28,2023,4,2643,8617980,2.3787,0.03066843970396775
2023-05-22,2023,5,3959,8617980,3.5631,0.04593883949603039
2023-05-30,2023,5,2643,8617980,2.3787,0.03066843970396775
2023-06-07,2023,6,3841,8617980,3.4569,0.04456960911953846
2023-06-15,2023,6,3907,8617980,3.5163,0.045335449838593264
2023-06-23,2023,6,1268,8617980,1.1412,0.01471342472365914
2023-07-09,2023,7,1433,8617980,1.2897,0.016628026521296174
2023-07-17,2023,7,2204,8617980,1.9836,0.025574438557527404
2023-08-02,2023,8,489,8617980,0.4401,0.005674183509360662
2023-08-10,2023,8,599,8617980,0.5391,0.00695058470778535
2023-08-18,2023,8,286,8617980,0.2574,0.0033186431159041912
2023-08-26,2023,8,14861,8617980,13.3749,0.17244180190717548
2023-09-19,2023,9,225,8617980,0.2025,0.002610820633141409
2023-10-21,2023,10,1586,8617980,1.4274,0.01840338455183233
2023-10-29,2023,10,1104,8617980,0.9936,0.012810426573280513
2023-11-30,2023,11,102,8617980,0.0918,0.0011835720203574387
2024-01-17,2024,1,3707,8617980,3.3363,0.043014720386912016
2024-02-02,2024,2,2900,8617980,2.61,0.033650577049378155
2024-02-10,2024,2,4202,8617980,3.7818,0.04875852577982311
2024-02-18,2024,2,4163,8617980,3.7467,0.04830598353674527
2024-02-26,2024,2,5982,8617980,5.3838,0.06941301789978625
2024-03-05,2024,3,9074,8617980,8.1666,0.10529149522277843
2024-03-13,2024,3,11884,8617980,10.6956,0.13789774401890004
2024-03-29,2024,3,14293,8617980,12.8637,0.1658509302644007
2024-04-06,2024,4,9132,8617980,8.2188,0.105964506763766
2024-04-14,2024,4,1645,8617980,1.4805,0.019087999740078302
2024-04-22,2024,4,1388,8617980,1.2492,0.01610586239466789
2024-04-30,2024,4,679,8617980,0.6111,0.007878876488457852
2024-05-08,2024,5,2898,8617980,2.6082,0.03362736975486135
2024-06-17,2024,6,3711,8617980,3.3399,0.04306113497594564
2024-07-03,2024,7,4300,8617980,3.87,0.04989568321114693
2024-07-11,2024,7,3039,8617980,2.7351,0.03526348401829663
2024-07-19,2024,7,822,8617980,0.7398,0.009538198046409948
2024-07-27,2024,7,0,8617980,0.0,0.0
2024-08-04,2024,8,2862,8617980,2.5758,0.033209638453558725
2024-08-12,2024,8,1271,8617980,1.1439,0.014748235665434359
2024-08-20,2024,8,1103,8617980,0.9927,0.012798822926022108
2024-08-28,2024,8,3997,8617980,3.5973,0.04637977809184983
2024-09-13,2024,9,7380,8617980,6.642,0.08563491676703822
2024-09-21,2024,9,873,8617980,0.7857,0.010129984056588666
2024-09-29,2024,9,4728,8617980,4.2552,0.0548620442377448
2024-10-31,2024,10,4459,8617980,4.0131,0.051740663125233524
2024-11-08,2024,11,1885,8617980,1.6965,0.021872875082095806
2024-11-16,2024,11,4249,8617980,3.8241,0.04930389720096821
2024-12-02,2024,12,1872,8617980,1.6848,0.021722027667736524
2024-12-10,2024,12,1321,8617980,1.1889,0.015328418028354673
2024-12-18,2024,12,113,8617980,0.1017,0.0013112121401999076
2024-12-26,2024,12,2004,8617980,1.8036,0.02325370910584615
