Date,Year,Month,Urban_Pixels,Valid_Pixels,Clear_Pixels,Urban_Area_km2,Urban_Percentage,Cloud_Coverage
2020-02-23,2020,2,2103,5058788,5058788,1.8927,0.041571222197886136,41.2996084929415
2020-03-10,2020,3,43130,8455040,8455040,38.817,0.5101099462569071,1.8906982842847162
2020-03-26,2020,3,4412,5043162,5043162,3.9708,0.08748479624489557,41.480927085001355
2020-04-11,2020,4,27817,8116155,8116155,25.0353,0.3427361848067219,5.823000285449723
2020-04-27,2020,4,1351,5831897,5831897,1.2159,0.023165704058216392,32.32872436464229
2020-05-29,2020,5,928,4440776,4440776,0.8352,0.020897248588985347,48.47080174240367
2020-06-14,2020,6,957,4410326,4410326,0.8613,0.0216990762134137,48.824132801422145
2020-08-17,2020,8,905,5256829,5256829,0.8145,0.017215701709148233,39.001610586239465
2020-10-04,2020,10,457,6434394,6434394,0.4113,0.007102455957779396,25.337561702394297
2020-10-20,2020,10,1962,4592747,4592747,1.7658,0.04271953146994598,46.707383864896414
2020-11-21,2020,11,547,5340144,5340144,0.4923,0.01024316947258351,38.03485271490535
2020-12-07,2020,12,141,4982560,4982560,0.1269,0.0028298705886130823,42.184131316155295
2020-12-23,2020,12,2399,6887067,6887067,2.1591,0.03483340586057897,20.084903886989757
2021-01-08,2021,1,154,5686243,5686243,0.1386,0.0027082908697359576,34.0188420024182
2021-01-24,2021,1,2461,7990009,7990009,2.2149,0.030800966557109007,7.286753972508639
2021-02-09,2021,2,2511,6223207,6223207,2.2599,0.04034897119764777,27.788101155955342
2021-02-25,2021,2,3285,7103609,7103609,2.9565,0.04624409930219977,17.57222690235995
2021-03-13,2021,3,10929,7407000,7407000,9.8361,0.14754961522883758,14.051784756984814
2021-03-29,2021,3,8582,7451658,7451658,7.7238,0.11516899997289194,13.533589077718908
2021-04-14,2021,4,1915,5809347,5809347,1.7235,0.03296411799811579,32.59038661031936
2021-05-16,2021,5,0,3175247,3175247,0.0,0.0,63.155553853687294
2021-06-01,2021,6,1740,6208431,6208431,1.566,0.028026404738975115,27.959556647845552
2021-06-17,2021,6,1,3852355,3852355,0.0009,2.5958147678497958e-05,55.29863146584234
2021-07-19,2021,7,1654,5109960,5109960,1.4886,0.03236815943764726,40.705826655434336
2021-08-04,2021,8,2973,4923211,4923211,2.6757,0.060387417886416,42.87279617729445
2021-08-20,2021,8,962,5015952,5015952,0.8658,0.01917881191845536,41.79666232690259
2021-09-05,2021,9,382,4662370,4662370,0.3438,0.008193257935341897,45.899503131824396
2021-09-21,2021,9,1448,4290611,4290611,1.3032,0.03374810720431193,50.21326343296225
2021-10-07,2021,10,2819,5381016,5381016,2.5371,0.0523878761928974,37.56058844415977
2021-10-23,2021,10,1293,8070993,8070993,1.1637,0.016020333557469322,6.347044202933866
2021-11-08,2021,11,0,3284300,3284300,0.0,0.0,61.89014130921632
2021-12-10,2021,12,1554,5462539,5462539,1.3986,0.028448309476600535,36.61462430871271
2021-12-18,2021,12,1101,5292339,5292339,0.9909,0.020803656001628014,38.589565072093464
2021-12-26,2021,12,2471,6377405,6377405,2.2239,0.03874616713224266,25.99884195600361
2022-01-11,2022,1,1408,5333884,5333884,1.2672,0.026397274481409796,38.10749154674297
2022-01-19,2022,1,893,7590645,7590645,0.8037,0.011764481147517766,11.920832956214797
2022-02-04,2022,2,1869,8124617,8124617,1.6821,0.023004161303849767,5.724810222349089
2022-02-12,2022,2,942,5339700,5339700,0.8478,0.017641440530366877,38.04000473428808
2022-02-20,2022,2,3522,7349671,7349671,3.1698,0.04792051236034919,14.717010250661989
2022-02-28,2022,2,2529,5632411,5632411,2.2761,0.04490084264092233,34.643489541632725
2022-03-08,2022,3,2208,5783853,5783853,1.9872,0.03817524408037341,32.88620999352517
2022-03-24,2022,3,314,5032574,5032574,0.2826,0.006239351870434493,41.603786502173364
2022-04-01,2022,4,3247,7486362,7486362,2.9223,0.04337220134425773,13.13089610326318
2022-04-09,2022,4,2303,6086517,6086517,2.0727,0.037837732154531074,29.37420369970689
2022-04-17,2022,4,2064,5862060,5862060,1.8576,0.035209465614476826,31.978723552386985
2022-05-11,2022,5,0,3194258,3194258,0.0,0.0,62.93495691565772
2022-05-19,2022,5,885,4181686,4181686,0.7965,0.021163712435606115,51.47719071058415
2022-05-27,2022,5,1040,4930357,4930357,0.936,0.021093807203007815,42.789876513985874
2022-06-04,2022,6,2,3716541,3716541,0.0018,5.381347871582743e-05,56.874569214595525
2022-06-20,2022,6,312,3609409,3609409,0.2808,0.008644074417723233,58.117691152683115
2022-06-28,2022,6,36,3438108,3438108,0.0324,0.0010470875260463022,60.10540753169536
2022-07-14,2022,7,201,3965571,3965571,0.1809,0.005068626939222624,53.984912937834615
2022-07-30,2022,7,72,4501848,4501848,0.0648,0.001599343203057944,47.762143797038284
2022-08-15,2022,8,1430,7900315,7900315,1.287,0.018100544092229234,8.32753150970413
2022-08-23,2022,8,0,3179335,3179335,0.0,0.0,63.108118143694924
2022-09-16,2022,9,1279,5543101,5543101,1.1511,0.023073727142983683,35.67981127828099
